11
82 21
-2.66667 -1 0 0 1
-2.6 -1 0.0125 0 1
-2.53333 -1 0.025 0 1
-2.46667 -1 0.0375 0 1
-2.4 -1 0.05 0 1
-2.33333 -1 0.0625 0 1
-2.26667 -1 0.075 0 1
-2.2 -1 0.0875 0 1
-2.13333 -1 0.1 0 1
-2.06667 -1 0.1125 0 1
-2 -1 0.125 0 1
-1.93333 -1 0.1375 0 1
-1.86667 -1 0.15 0 1
-1.8 -1 0.1625 0 1
-1.73333 -1 0.175 0 1
-1.66667 -1 0.1875 0 1
-1.6 -1 0.2 0 1
-1.53333 -1 0.2125 0 1
-1.46667 -1 0.225 0 1
-1.4 -1 0.2375 0 1
-1.33333 -1 0.25 0 1
-1.26667 -1 0.2625 0 1
-1.2 -1 0.275 0 1
-1.13333 -1 0.2875 0 1
-1.06667 -1 0.3 0 1
-1 -1 0.3125 0 1
-0.933333 -1 0.325 0 1
-0.866667 -1 0.3375 0 1
-0.8 -1 0.35 0 1
-0.733333 -1 0.3625 0 1
-0.666667 -1 0.375 0 1
-0.6 -1 0.3875 0 1
-0.533333 -1 0.4 0 1
-0.466667 -1 0.4125 0 1
-0.4 -1 0.425 0 1
-0.333333 -1 0.4375 0 1
-0.266667 -1 0.45 0 1
-0.2 -1 0.4625 0 1
-0.133333 -1 0.475 0 1
-0.0666667 -1 0.4875 0 1
0 -1 0.5 0 1
0 -1 0.5 0 1
0.0666667 -1 0.5125 0 1
0.133333 -1 0.525 0 1
0.2 -1 0.5375 0 1
0.266667 -1 0.55 0 1
0.333333 -1 0.5625 0 1
0.4 -1 0.575 0 1
0.466667 -1 0.5875 0 1
0.533333 -1 0.6 0 1
0.6 -1 0.6125 0 1
0.666667 -1 0.625 0 1
0.733333 -1 0.6375 0 1
0.8 -1 0.65 0 1
0.866667 -1 0.6625 0 1
0.933333 -1 0.675 0 1
1 -1 0.6875 0 1
1.06667 -1 0.7 0 1
1.13333 -1 0.7125 0 1
1.2 -1 0.725 0 1
1.26667 -1 0.7375 0 1
1.33333 -1 0.75 0 1
1.4 -1 0.7625 0 1
1.46667 -1 0.775 0 1
1.53333 -1 0.7875 0 1
1.6 -1 0.8 0 1
1.66667 -1 0.8125 0 1
1.73333 -1 0.825 0 1
